"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C7,C22,C23,C27,C29,C30,C32,C36","10","0.1uF","","","","SCRB_STD_Passives:C0402",""
"C8","1","6.8nF","","","","SCRB_STD_Passives:C0402",""
"C9,C15,C25","3","5.1nF","","","","SCRB_STD_Passives:C0402",""
"C10,C13,C17,C24,C26","5","510pF","","","","SCRB_STD_Passives:C0402",""
"C11","1","510nF","","","","SCRB_STD_Passives:C0402",""
"C16,C21","2","12p","","","","SCRB_STD_Passives:C0402",""
"C18","1","1uF","","","","SCRB_STD_Passives:C0402",""
"C20","1","0.1u","","","","SCRB_STD_Passives:C0402",""
"C28","1","16nF","","","","SCRB_STD_Passives:C0402",""
"C33","1","0.1unF","","","","SCRB_STD_Passives:C0402",""
"C34","1","4.7uF","","","","SCRB_STD_Passives:C0402",""
"C35","1","2.2uF","","","","SCRB_STD_Passives:C0603",""
"C37","1","10nF","","","","SCRB_STD_Passives:C0402",""
"IC1","1","STM32C542CCT6","","","","SCRB_Misc_ICs:LQFP-48_7x7mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32c542cc.pdf"
"J1","1","Conn_01x03","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"J2,J4,J5","3","Conn_LoadCell","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",""
"J6,J10","2","Conn_01x01","","","","",""
"J7","1","Conn_Therm","","","","Connector_JST:JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",""
"J8","1","ST-Link-Conn-SM","","","","Connector_JST:JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical",""
"J9","1","Conn_20HIGH","","","","Connector_AMASS:AMASS_XT30U-M_1x02_P5.0mm_Vertical",""
"J11","1","Conn_5V","","","","SCRB_STD_Passives:R0402",""
"LD1,LD2,LD3","3","LED0603","","","","SCRB_STD_Actives:LED0603",""
"Q1","1","NMOS","","","","SCRB_STD_Actives:SOT-23",""
"R1,R7,R27,R32","4","10k","","","","SCRB_STD_Passives:R0402",""
"R2","1","120","","","","SCRB_STD_Passives:R0805",""
"R3,R4,R9,R10,R26,R31","6","470","","","","SCRB_STD_Passives:R0402",""
"R5,R6,R28","3","100","","","","SCRB_STD_Passives:R0402",""
"R8","1","4.7k","","","","SCRB_STD_Passives:R0402",""
"R29","1","270","","","","SCRB_STD_Passives:R0402",""
"R30","1","10m","","","","SCRB_STD_Passives:R0603",""
"R33,R34,R35,R36,R37,R38,R39,R40","8","47","","","","SCRB_STD_Passives:R0402",""
"R41,R42","2","4.7K","","","","SCRB_STD_Passives:R0402",""
"SW1","1","SW_Tiny","","","","SCRB_Electromechanical:SW_C913791",""
"TP1","1","Testpoint","","","","TestPoint:TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded",""
"U2,U8","2","TPD4E05U06DQAR","","","","SCRB_TexasInstruments:DQA0010A",""
"U3","1","THVD1500DR","","","","SCRB_TexasInstruments:D0008A",""
"U4,U5","2","ADS1220IPW","","","","ADS1220:PW16","https://www.ti.com/lit/gpn/ads1220"
"U6","1","TLV75533PDBV","","","","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tlv755p.pdf"
"U7","1","INA241A4IDDFR","","","","SCRB_TexasInstruments:DDF0008A",""
"Y1","1","16M, 9p","","","","SCRB_STD_Passives:SMD3225","RH100-16.000-9-1018-EXT-TR"
